Adress IP: 10.148.5.0 to komputer 0204C012020219.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.1 to komputer 0204C012016962.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.3 to komputer 0204C012019118.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.4 to komputer 021001176597.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.5 to komputer 0204C012015882.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.6 to komputer 0204C012019113.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.7 to komputer 0204c012019114.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.9 to komputer 0204C012019107.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.10 to komputer 0204C012020220.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.11 to komputer 0204c012018058.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.12 to komputer 0204c012019135.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.16 to komputer 0204c012017003.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.19 to komputer 0204C012019150.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.20 to komputer 0204c012020197.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.21 to komputer 0204C012012790.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.22 to komputer 0204c012019084.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.26 to komputer 0204C012020185.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.27 to komputer 0204c012016927.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.30 to komputer 0204c012017010.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.31 to komputer 0204C012020198.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.33 to komputer 0204C012019128.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.36 to komputer 0204C012020215.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.38 to komputer 0204c012014833.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.40 to komputer 0204C012015883.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.41 to komputer 0204C012020266.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.43 to komputer 0204c012015902.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.44 to komputer 0204C012020210.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.47 to komputer 04c012015895.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.48 to komputer 0204C012020221.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.49 to komputer 0204c012015884.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.51 to komputer 0204C012020217.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.52 to komputer 0204C012016973.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.54 to komputer 0204C012020209.bzmw.gov.pl, status operacji: Permission denied.
Adress IP: 10.148.5.55 to komputer 0204C012019110.bzmw.gov.pl, status operacji: Permission denied.
